Discourses,Discourses
Lillies,lilies
of,of
the,the
field,field
Matth,Matth
Nature,Nature
bestows,bestows
richer,richer
Garments,Garments
upon,upon
many,many
things,things
than,than
Art,Art
can,can
upon,upon
us,us
Besides,Besides
unless,unless
the,the
Soul,Soul
be,be
as,as
well,well
furnisht,furnished
and,and
adorn'd,adorned
within,within
these,these
things,things
are,are
but,but
like,like
noble,noble
Trappings,Trappings
on,on
the,the
Asses,Asses
Back,Back
which,which
serve,serve
to,to
render,render
the,the
silly,silly
Beast,Beast
ridiculous,ridiculous
And,And
yet,yet
notwithstanding,notwithstanding
the,the
absurdity,absurdity
it,it
is,is
too,too
common,common
for,for
men,men
to,to
magnifie,magnify
themselves,themselves
and,and
swell,swell
in,in
their,their
own,own
imaginations,imaginations
meerly,merely
because,because
their,their
outsides,outsides
are,are
finer,finer
clad,clad
than,than
other,other
mens,mens
It,It
consists,consists
in,in
the,the
contemning,contemning
of,of
those,those
that,that
are,are
below,below
them,them
and,and
fall,fall
much,much
short,short
of,of
them,them
in,in
this,this
respect,respect
The,The
poor,poor
man,man
in,in
vile,vile
raiment,raiment
is,is
bidden,bidden
to,to
sit,sit
under,under
their,their
footstool,footstool
James,James
or,or
not,not
permitted,permitted
to,to
come,come
o,o
near,near
either,either
quite,quiter
overlookt,don't
or,or
look,look
't,'t
upon,upon
with,with
scorn,scorn
and,and
with,with
disdain,disdain
as,as
an,an
object,object
not,not
good,good
enough,enough
for,for
their,their
lofty,lofty
Eye,Eye
This,This
shews,shows
that,that
Pride,Pride
is,is
in,in
full,full
Dominion,Dominion
which,which
blinds,blinds
them,them
from,from
considering,considering
how,how
precious,precious
and,and
amiable,amiable
any,any
Member,Member
of,of
Christ,Christ
tho,tho
in,in
Rags,Rags
must,must
needs,needs
be,be
to,to
its,its
glorious,glorious
Head,Head
how,how
nakedness,nakedness
it self,itself
does,does
not,not
separate,separate
from,from
his,his
love,love
God,God
does,does
not,not
behold,behold
such,such
afar,afar
off,off
but,but
their,their
foolish,foolish
and,and
ignorant,ignorant
despisers,despisers
he,he
does,does
not,not
esteem,esteem
a,a
gallant,gallant
Sinner,Sinner
nor,nor
pass,pass
by,by
a,a
distressed,distressed
Saint,Saint
God,God
looks,looks
to,to
him,him
that,that
is,is
Poor,Poor
but,but
the,the
Rich,Rich
and,and
high-minded,high-minded
think,think
them,them
unworthy,unworthy
of,of
their,their
notice,notice
It,It
consists,consists
in,in
a,a
nice,nice
curiosity,curiosity
about,about
their,their
Apparel,Apparel
as,as
to,to
that,that
which,which
is,is
of,of
least,least
signification,signification
and,and
importance,importance
or,or
none,none
at,at
all,all
'T,'T
is,is
Pride,Pride
which,which
is,is
the,the
spring,spring
and,and
root,root
of,of
this,this
Particularly,Particularly
When,When
bare,bare
ornament,ornament
is,is
preferr'd,preferred
to,to
real,real
service,service
